Country,Land area,2020,forest_2020_pct,2010,forest_2010_pct,2000,forest_2000_pct,1990,forest_1990_pct
,,Total,% Cover,Total,% Cover,Total,% Cover,Total,% Cover
Afghanistan,65286.7,1208,1.85,1208,1.85,1208,1.85,1208,1.85
Albania,2739.8,789,28.8,782,28.54,769,28.07,789,28.8
Algeria,238174.1,1949,0.82,1918,0.81,1579,0.66,1667,0.7
American Samoa,19.9,17,85.43,17,85.43,18,90.45,18,90.45
Andorra,46.8,16,34.19,16,34.19,16,34.19,16,34.19
Angola,124670,66607,53.43,72158,57.88,77709,62.33,79263,63.58
Antigua and Barbuda,44.3,8,18.06,9,20.32,9,20.32,10,22.57
Argentina,273669,28573,10.44,30214,11.04,33378,12.2,35204,12.86
Armenia,2834.2,328,11.57,331,11.68,333,11.75,335,11.82
Australia,763356.5,134005,17.55,129546,16.97,131814,17.27,133882,17.54
Austria,8244.5,3899,47.29,3863,46.86,3838,46.55,3776,45.8
Azerbaijan,8610,1132,13.15,1032,11.99,987,11.46,945,10.98
Bahamas,1001,510,50.95,510,50.95,510,50.95,510,50.95
Bangladesh,13420.8,1883,14.03,1888,14.07,1920,14.31,1920,14.31
Barbados,43.1,6,13.92,6,13.92,6,13.92,6,13.92
Belarus,20290,8768,43.21,8630,42.53,8273,40.77,7780,38.34
Belgium,3027.8,689,22.76,690,22.79,667,22.03,677,22.36
Belize,2280.6,1277,55.99,1391,60.99,1459,63.97,1600,70.16
Benin,11430.5,3135,27.43,3635,31.8,4135,36.18,4835,42.3
Bermuda,5.4,1,18.52,1,18.52,1,18.52,1,18.52
Bhutan,3839.4,2725,70.97,2705,70.45,2606,67.88,2507,65.3
Bolivia,108330.1,50834,46.93,53086,49,55101,50.86,57805,53.36
Bosnia and Herzegovina,5118.7,2188,42.75,2103,41.08,2112,41.26,2210,43.18
Botswana,56673,15255,26.92,16438,29,17621,31.09,18804,33.18
Brazil,846041.5,496620,58.7,511581,60.47,551089,65.14,588898,69.61
British Virgin Islands,15.1,4,26.49,4,26.49,4,26.49,4,26.49
Brunei,526.5,380,72.17,380,72.17,397,75.4,413,78.44
Bulgaria,10861.2,3893,35.84,3737,34.41,3375,31.07,3327,30.63
Burkina Faso,27360.2,6216,22.72,6717,24.55,7217,26.38,7717,28.21
Burundi,2568,280,10.9,194,7.55,194,7.55,276,10.75
Cambodia,17651.5,8068,45.71,10589,59.99,10781,61.08,11005,62.35
Cameroon,47271,20340,43.03,20900,44.21,21597,45.69,22500,47.6
Canada,909350.7,346928,38.15,347322,38.19,347802,38.25,348273,38.3
Cape Verde,403.3,46,11.41,43,10.66,40,9.92,15,3.72
Cayman Islands,26.4,13,49.24,13,49.24,13,49.24,13,49.24
Central African Republic,62298.4,22303,35.8,22603,36.28,22903,36.76,23203,37.24
Chad,125920,4313,3.43,5530,4.39,6353,5.05,6730,5.34
Chile,74381.2,18211,24.48,16725,22.49,15817,21.26,15246,20.5
China,932641,219978,23.59,200610,21.51,177001,18.98,157141,16.85
Colombia,103870,59142,56.94,60808,58.54,62736,60.4,64958,62.54
Comoros,186.2,33,17.72,37,19.87,42,22.56,46,24.7
Cook Islands,23.6,16,67.8,16,67.8,16,67.8,15,63.56
Costa Rica,5106,3035,59.44,2871,56.23,2857,55.95,2907,56.93
Croatia,5597.4,1939,34.64,1920,34.3,1885,33.68,1850,33.05
Cuba,10988.4,3242,29.5,2932,26.68,2435,22.16,2058,18.73
Cyprus,924.1,173,18.72,173,18.72,172,18.61,161,17.42
Czech Republic,7719.9,2677,34.68,2657,34.42,2637,34.16,2629,34.05
Democratic Republic of the Congo,226704.8,126155,55.65,137169,60.51,143899,63.47,150629,66.44
Denmark,4243.4,628,14.8,586,13.81,572,13.48,531,12.51
Djibouti,2318,6,0.26,6,0.26,6,0.26,6,0.26
Dominica,75.1,48,63.91,48,63.91,48,63.91,50,66.58
Dominican Republic,4832,2144,44.37,2073,42.9,1972,40.81,1595,33.01
East Timor,1491.9,921,61.73,935,62.67,949,63.61,963,64.55
Ecuador,25636.9,12498,48.75,13028,50.82,13731,53.56,14632,57.07
Egypt,99545,45,0.05,66,0.07,59,0.06,44,0.04
El Salvador,2072.1,584,28.18,629,30.36,674,32.53,719,34.7
Equatorial Guinea,2805.1,2448,87.27,2532,90.26,2616,93.26,2699,96.22
Eritrea,12500,1055,8.44,1087,8.7,1118,8.94,1150,9.2
Estonia,4238.8,2438,57.52,2336,55.11,2239,52.82,2206,52.04
Eswatini,1720.4,498,28.95,485,28.19,473,27.49,461,26.8
Ethiopia,100000,17069,17.07,17799,17.8,18529,18.53,19259,19.26
Fiji,1827.4,1140,62.38,1073,58.72,1006,55.05,940,51.44
Finland,30381.6,22409,73.76,22242,73.21,22446,73.88,21875,72
France,55150,17253,31.28,16419,29.77,15288,27.72,14436,26.18
French Guiana,8353.4,8003,95.81,8037,96.21,8079,96.72,8125,97.27
French Polynesia,382.7,149,38.93,149,38.93,149,38.93,144,37.63
Gabon,25766.7,23531,91.32,23649,91.78,23700,91.98,23762,92.22
Gambia,1000,243,24.3,300,30,357,35.7,415,41.5
Georgia,6970,2822,40.49,2822,40.49,2761,39.61,2752,39.48
Germany,34867.2,11419,32.75,11409,32.72,11354,32.56,11300,32.41
Ghana,22753.3,7986,35.1,7943,34.91,8849,38.89,9924,43.62
Gibraltar,0.65,0,0,0,0,0,0,0,0
Greece,13064.7,3902,29.87,3902,29.87,3600,27.56,3299,25.25
Grenada,34.4,18,52.33,18,52.33,18,52.33,18,52.33
Guadeloupe,170.5,72,42.23,72,42.23,72,42.23,73,42.82
Guam,54.9,28,51,24,43.72,24,43.72,24,43.72
Guatemala,10715.9,3528,32.92,3723,34.74,4209,39.28,4781,44.62
Guinea,24571.7,6189,25.19,6569,26.73,6929,28.2,7276,29.61
Guinea-Bissau,2812,1980,70.41,2064,73.4,2149,76.42,2233,79.41
Guyana,19684.9,18415,93.55,18520,94.08,18564,94.31,18602,94.5
Haiti,2756,347,12.59,378,13.72,381,13.82,383,13.9
Honduras,11189,6359,56.83,6575,58.76,6778,60.58,6988,62.45
Hungary,8960.8,2053,22.91,2046,22.83,1921,21.44,1814,20.24
Iceland,10025,51,0.51,45,0.45,30,0.3,17,0.17
India,297319,72160,24.27,69496,23.37,67591,22.73,63938,21.5
Indonesia,181156.9,92133,50.86,99659,55.01,101280,55.91,118545,65.44
Iran,153159.5,10752,7.02,10692,6.98,9326,6.09,9076,5.93
Iraq,43736.7,825,1.89,825,1.89,818,1.87,804,1.84
Ireland,6888.3,782,11.35,720,10.45,630,9.15,462,6.71
Isle of Man,57.2,3,5.24,3,5.24,3,5.24,3,5.24
Israel,2033,140,6.89,154,7.58,153,7.53,132,6.49
Italy,29414,9566,32.52,9028,30.69,8369,28.45,7590,25.8
Ivory Coast,31800.3,2837,8.92,3966,12.47,5094,16.02,7851,24.69
Jamaica,1083.1,597,55.12,558,51.52,521,48.1,521,48.1
Japan,36454.6,24935,68.4,24966,68.49,24876,68.24,24950,68.44
Jordan,8880.2,98,1.1,98,1.1,98,1.1,98,1.1
Kazakhstan,269970,3455,1.28,3082,1.14,3157,1.17,3162,1.17
Kenya,56914,3611,6.34,3616,6.35,3961,6.96,3859,6.78
Kiribati,81.1,1,1.23,1,1.23,1,1.23,1,1.23
Kuwait,1781.8,6,0.34,6,0.34,5,0.28,3,0.17
Kyrgyzstan,19180.1,1315,6.86,1230,6.41,1181,6.16,1136,5.92
Laos,23080,16596,71.91,16941,73.4,17425,75.5,17843,77.31
Latvia,6224.9,3411,54.8,3372,54.17,3241,52.07,3173,50.97
Lebanon,1023,143,13.98,137,13.39,138,13.49,140,13.69
Lesotho,3035.5,35,1.15,35,1.15,35,1.15,35,1.15
Liberia,9632,7617,79.08,7920,82.23,8223,85.37,8525,88.51
Libya,175954,217,0.12,217,0.12,217,0.12,217,0.12
Liechtenstein,16,7,43.75,7,43.75,7,43.75,7,43.75
Lithuania,6268,2201,35.11,2170,34.62,2020,32.23,1945,31.03
Luxembourg,258.6,89,34.42,89,34.42,87,33.64,86,33.26
Madagascar,58154,12430,21.37,12562,21.6,13031,22.41,13693,23.55
Malawi,9408,2242,23.83,2662,28.3,3082,32.76,3502,37.22
Malaysia,32961.3,19114,57.99,18948,57.49,19691,59.74,20619,62.56
Maldives,29.8,1,3.36,1,3.36,1,3.36,1,3.36
Mali,122019,13296,10.9,13296,10.9,13296,10.9,13296,10.9
Marshall Islands,18.1,9,49.72,9,49.72,9,49.72,9,49.72
Martinique,112.8,52,46.1,50,44.33,49,43.44,48,42.55
Mauritania,102552,313,0.31,367,0.36,422,0.41,476,0.46
Mauritius,203,39,19.21,38,18.72,42,20.69,41,20.2
Mayotte,37.4,14,37.43,14,37.43,16,42.78,19,50.8
Mexico,194394.5,65692,33.79,66943,34.44,68381,35.18,70592,36.31
Micronesia,70.2,64,91.17,64,91.17,64,91.17,64,91.17
Moldova,3289.1,387,11.77,375,11.4,344,10.46,325,9.88
Monaco,0.2,0,0,0,0,0,0,0,0
Mongolia,155355.6,14173,9.12,14184,9.13,14264,9.18,14352,9.24
Montenegro,1345.2,827,61.48,827,61.48,626,46.54,626,46.54
Morocco,44630,5742,12.87,5675,12.72,5507,12.34,5485,12.29
Mozambique,78638,36744,46.73,38972,49.56,41188,52.38,43378,55.16
Myanmar,65350.8,28544,43.68,31441,48.11,34868,53.36,39218,60.01
Namibia,82329,6639,8.06,7349,8.93,8059,9.79,8769,10.65
Nepal,14368.6,5962,41.49,5962,41.49,5781,40.23,5672,39.47
Netherlands,3389.3,370,10.92,373,11.01,360,10.62,345,10.18
New Caledonia,1827.5,838,45.85,839,45.91,838,45.85,831,45.47
New Zealand,26244.3,9893,37.7,9848,37.52,9850,37.53,9372,35.71
Nicaragua,11999,3408,28.4,4188,34.9,5399,45,6399,53.33
Niger,126670,1080,0.85,1204,0.95,1328,1.05,1945,1.54
Nigeria,91076.8,21627,23.75,23260,25.54,24893,27.33,26526,29.12
Niue,26,19,73.08,19,73.08,19,73.08,19,73.08
North Korea,12053.8,6287,52.16,6387,52.99,6476,53.73,6551,54.35
North Macedonia,2543.3,1001,39.36,960,37.75,958,37.67,912,35.86
Northern Mariana Islands,46.4,24,51.72,30,64.66,32,68.97,34,73.28
Norway,36595.7,12180,33.28,12102,33.07,12113,33.1,12132,33.15
Oman,30950,3,0.01,3,0.01,3,0.01,3,0.01
Pakistan,85669,3726,4.35,4094,4.78,4511,5.27,4987,5.82
Palau,45.9,41,89.32,41,89.32,40,87.15,38,82.79
Panama,7434,4214,56.69,4328,58.22,4442,59.75,4607,61.97
Papua New Guinea,45286,35856,79.18,36179,79.89,36278,80.11,36400,80.38
Paraguay,39730.2,16102,40.53,19570,49.26,22992,57.87,25546,64.3
Peru,127999.6,72330,56.51,74050,57.85,75298,58.83,76449,59.73
Philippines,29817,7189,24.11,6840,22.94,7309,24.51,7779,26.09
Pitcairn Islands,4.7,4,85.11,4,85.11,4,85.11,4,85.11
Poland,31188.8,9483,30.41,9329,29.91,9059,29.05,8882,28.48
Portugal,9111.9,3312,36.35,3252,35.69,3281,36.01,3399,37.3
Puerto Rico,887,496,55.92,491,55.36,429,48.37,320,36.08
Qatar,1158.6,0,0,0,0,0,0,0,0
Republic of the Congo,34150,21946,64.26,22075,64.64,22195,64.99,22315,65.34
RÈunion,251.3,98,39,94,37.41,91,36.21,88,35.02
Romania,23129.1,6929,29.96,6515,28.17,6366,27.52,6371,27.55
Russia,1637841,815312,49.78,815136,49.77,809269,49.41,808950,49.39
Rwanda,2466.8,276,11.19,265,10.74,287,11.63,317,12.85
Saint Kitts and Nevis,26.1,11,42.15,11,42.15,11,42.15,11,42.15
Saint Lucia,60.6,21,34.65,21,34.65,21,34.65,21,34.65
Saint Martin,5.44,1,18.38,1,18.38,1,18.38,1,18.38
Saint Pierre and Miquelon,24.2,1,4.13,1,4.13,2,8.26,2,8.26
Saint Vincent and the Grenadines,38.9,29,74.55,29,74.55,29,74.55,28,71.98
Samoa,282.1,162,57.43,166,58.84,171,60.62,176,62.39
San Marino,6.1,1,16.39,1,16.39,1,16.39,1,16.39
S„o TomÈ and PrÌncipe,96.4,52,53.94,58,60.17,58,60.17,59,61.2
Saudi Arabia,214969,977,0.45,977,0.45,977,0.45,977,0.45
Senegal,19253,8068,41.91,8468,43.98,8853,45.98,9303,48.32
Serbia,8824.6,2723,30.86,2713,30.74,2460,27.88,2313,26.21
Seychelles,45.5,34,74.73,34,74.73,34,74.73,34,74.73
Sierra Leone,7162,2535,35.4,2732,38.15,2929,40.9,3127,43.66
Singapore,71.6,16,22.35,18,25.14,17,23.74,15,20.95
Slovakia,4810.5,1926,40.04,1918,39.87,1901,39.52,1902,39.54
Slovenia,2015.1,1238,61.44,1247,61.88,1233,61.19,1188,58.95
Solomon Islands,2798.6,2523,90.15,2530,90.4,2538,90.69,2545,90.94
Somalia,62733.7,5980,9.53,6748,10.76,7515,11.98,8283,13.2
South Africa,121447,17050,14.04,17414,14.34,17778,14.64,18142,14.94
South Korea,9990.9,6030,60.35,6242,62.48,6455,64.61,6912,69.18
South Sudan,64432.9,7157,11.11,7157,11.11,7157,11.11,7157,11.11
Spain,49898,18572,37.22,18545,37.17,17094,34.26,13905,27.87
Sri Lanka,6273.2,2113,33.68,2104,33.54,2166,34.53,2350,37.46
Sudan,173167.1,18360,10.6,20081,11.6,21826,12.6,23570,13.61
Suriname,15600,15196,97.41,15300,98.08,15341,98.34,15378,98.58
Sweden,41033.5,27980,68.19,28073,68.41,28163,68.63,28063,68.39
Switzerland,3999.7,1269,31.73,1235,30.88,1196,29.9,1154,28.85
Syria,18363,522,2.84,492,2.68,432,2.35,372,2.03
Tajikistan,14151,424,3,410,2.9,410,2.9,408,2.88
Tanzania,88580,45745,51.64,49950,56.39,53670,60.59,57390,64.79
Thailand,51089,19873,38.9,20073,39.29,18998,37.19,19361,37.9
Togo,5438.5,1209,22.23,1239,22.78,1268,23.32,1362,25.04
Tonga,71.7,9,12.55,9,12.55,9,12.55,9,12.55
Trinidad and Tobago,512.8,228,44.46,232,45.24,237,46.22,242,47.19
Tunisia,15536,703,4.52,687,4.42,668,4.3,644,4.15
Turkey,76963.2,22220,28.87,21083,27.39,20148,26.18,19783,25.7
Turkmenistan,46993,4127,8.78,4127,8.78,4127,8.78,4127,8.78
Turks and Caicos Islands,94.8,11,11.6,11,11.6,11,11.6,11,11.6
Tuvalu,2.6,1,38.46,1,38.46,1,38.46,1,38.46
Uganda,19710,2338,11.86,2750,13.95,3163,16.05,3575,18.14
Ukraine,57930,9690,16.73,9548,16.48,9510,16.42,9274,16.01
United Arab Emirates,8360,317,3.79,317,3.79,309,3.7,245,2.93
United Kingdom,24193,3190,13.19,3059,12.64,2954,12.21,2778,11.48
United States,914759.3,309795,33.87,308720,33.75,303536,33.18,302450,33.06
United States Virgin Islands,34.7,20,57.64,18,51.87,20,57.64,25,72.05
Uruguay,17501.5,2031,11.6,1731,9.89,1369,7.82,798,4.56
Uzbekistan,42540,3690,8.67,3350,7.87,2961,6.96,2549,5.99
Vanuatu,1218.9,442,36.26,442,36.26,442,36.26,442,36.26
Venezuela,88205,46231,52.41,47505,53.86,49151,55.72,52026,58.98
Vietnam,31007,14643,47.22,13388,43.18,11784,38,9376,30.24
Wallis and Futuna Islands,14.2,6,42.25,6,42.25,6,42.25,6,42.25
Western Sahara,26600,665,2.5,665,2.5,669,2.52,665,2.5
Yemen,55500,549,0.99,549,0.99,549,0.99,549,0.99
Zambia,74339.8,44814,60.28,46696,62.81,47054,63.3,47412,63.78
Zimbabwe,38684.7,17445,45.1,17905,46.28,18366,47.48,18827,48.67